GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PLUS_MINUS,season,season_type
2018-05-03,CLE @ TOR,W,41,43,8,14,1,0,1,19,28,0.679,1,3,0.333,4,8,0.5,20,2017-18,Playoffs
2018-05-05,CLE vs. TOR,W,41,38,6,7,3,1,4,14,26,0.538,1,4,0.25,9,11,0.818,2,2017-18,Playoffs
2018-05-07,CLE vs. TOR,W,38,29,8,11,2,1,2,12,19,0.632,0,3,0.0,5,8,0.625,28,2017-18,Playoffs
2018-05-13,CLE @ BOS,L,36,15,7,9,0,2,7,5,16,0.313,0,5,0.0,5,6,0.833,-32,2017-18,Playoffs
2018-05-15,CLE @ BOS,L,39,42,10,12,0,1,6,16,29,0.552,5,11,0.455,5,10,0.5,-9,2017-18,Playoffs
2018-05-19,CLE vs. BOS,W,38,27,5,12,2,2,3,8,12,0.667,3,3,1.0,8,10,0.8,31,2017-18,Playoffs
2018-05-21,CLE vs. BOS,W,42,44,5,3,2,0,7,17,28,0.607,1,4,0.25,9,13,0.692,9,2017-18,Playoffs
2018-05-23,CLE @ BOS,L,39,26,10,5,1,0,6,11,22,0.5,1,6,0.167,3,4,0.75,-11,2017-18,Playoffs
2018-05-25,CLE vs. BOS,W,46,46,11,9,3,1,3,17,33,0.515,5,7,0.714,7,11,0.636,15,2017-18,Playoffs
2018-05-27,CLE @ BOS,W,48,35,15,9,0,2,8,12,24,0.5,3,8,0.375,8,11,0.727,8,2017-18,Playoffs
2018-05-31,CLE @ GSW,L,48,51,8,8,1,1,5,19,32,0.594,3,7,0.429,10,11,0.909,-13,2017-18,Playoffs
2018-06-03,CLE @ GSW,L,44,29,9,13,2,0,5,10,20,0.5,2,4,0.5,7,9,0.778,-18,2017-18,Playoffs
2018-06-06,CLE vs. GSW,L,47,33,10,11,2,2,4,13,28,0.464,1,6,0.167,6,7,0.857,-8,2017-18,Playoffs
